VARIABLES = "Iter" "Res_rho" "Res_rhou-X" "Res_rhou-Y" "Res_rhou-Z" "Res_rhoE" "Res_kine" "Res_omega"
Zone T = "residuals" F = point
     770   -2.7288e+00    1.0797e+00   -8.6004e-01   -1.1559e+01    2.7819e+00    7.4765e-01    5.5679e+00
     780   -2.7271e+00    1.0753e+00   -8.5212e-01   -1.1536e+01    2.7831e+00    7.9072e-01    5.4633e+00
     790   -2.7252e+00    1.0712e+00   -8.4249e-01   -1.1568e+01    2.7847e+00    8.3175e-01    5.3719e+00
     800   -2.7228e+00    1.0672e+00   -8.3287e-01   -1.1559e+01    2.7869e+00    8.7053e-01    5.3078e+00
     810   -2.7202e+00    1.0633e+00   -8.2398e-01   -1.1566e+01    2.7892e+00    9.0717e-01    5.3632e+00
     820   -2.7172e+00    1.0595e+00   -8.1451e-01   -1.1563e+01    2.7919e+00    9.4181e-01    5.2987e+00
     830   -2.7139e+00    1.0559e+00   -8.0552e-01   -1.1562e+01    2.7949e+00    9.7417e-01    5.2771e+00
     840   -2.7102e+00    1.0525e+00   -7.9724e-01   -1.1535e+01    2.7983e+00    1.0044e+00    5.2832e+00
     850   -2.7184e+00    1.0490e+00   -8.3891e-01   -1.1291e+01    2.7883e+00    1.0324e+00    5.4960e+00
     860   -2.7165e+00    1.0458e+00   -8.4115e-01   -1.1404e+01    2.7924e+00    1.0583e+00    5.3875e+00
     870   -2.7095e+00    1.0430e+00   -8.2853e-01   -1.1487e+01    2.7983e+00    1.0818e+00    5.6679e+00
     880   -2.7041e+00    1.0403e+00   -8.1885e-01   -1.1544e+01    2.8035e+00    1.1032e+00    6.2506e+00
     890   -2.6987e+00    1.0378e+00   -8.0614e-01   -1.1539e+01    2.8084e+00    1.1144e+00    7.0580e+00
     900   -2.6940e+00    1.0356e+00   -7.9526e-01   -1.1537e+01    2.8130e+00    1.1205e+00    6.2581e+00
     910   -2.6893e+00    1.0346e+00   -7.8580e-01   -1.1444e+01    2.8175e+00    1.1246e+00    5.5479e+00
     920   -2.6850e+00    1.0359e+00   -7.7731e-01   -1.1328e+01    2.8224e+00    1.1271e+00    5.9574e+00
     930   -2.6806e+00    1.0381e+00   -7.6952e-01   -1.1140e+01    2.8278e+00    1.1289e+00    5.3865e+00
     940   -2.6762e+00    1.0408e+00   -7.6126e-01   -1.0943e+01    2.8330e+00    1.1303e+00    5.8204e+00
     950   -2.6722e+00    1.0441e+00   -7.5351e-01   -1.0880e+01    2.8379e+00    1.1313e+00    5.3334e+00
     960   -2.6689e+00    1.0479e+00   -7.4470e-01   -1.0865e+01    2.8421e+00    1.1322e+00    5.2479e+00
     970   -2.6719e+00    1.0519e+00   -7.6739e-01   -1.1543e+01    2.8392e+00    1.1327e+00    5.3383e+00
     980   -2.6683e+00    1.0566e+00   -7.5675e-01   -1.1554e+01    2.8447e+00    1.1335e+00    5.3779e+00
     990   -2.6672e+00    1.0618e+00   -7.6373e-01   -1.1568e+01    2.8453e+00    1.1337e+00    5.3681e+00
    1000   -2.6633e+00    1.0676e+00   -7.5278e-01   -1.1426e+01    2.8503e+00    1.1342e+00    5.3100e+00
